# x y som_x som_y cluster b_Alpha b_Bravo b_Charlie b_Delta Alpha Bravo Charlie Delta
340000.000000 7451600.000000 7 0 5 9994.623047 19.989277 1.998925 3498.118164 9969.165039 29.907495 1.993833 3987.666016
340000.000000 7451700.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.493164 30.004480 2.000299 4000.597412
340000.000000 7451800.000000 49 13 0 19936.365234 49.840908 9.968182 4984.091309 10005.093750 30.015282 2.001019 4002.037598
340000.000000 7451900.000000 42 30 4 10928.227539 34.771626 0.993475 5960.850098 10047.530273 30.142590 2.009506 4019.011963
340000.000000 7452000.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.490234 29.884472 1.992298 3984.596191
340000.000000 7452100.000000 39 36 5 10065.152344 30.195456 2.013030 4026.060791 10063.750000 30.191250 2.012750 4025.500000
340000.000000 7452200.000000 48 13 0 19936.490234 49.841232 9.968246 4984.122559 10007.920898 30.023764 2.001584 4003.168457
340000.000000 7452300.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9904.210938 29.712633 1.980842 3961.684326
340000.000000 7452400.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9902.905273 29.708715 1.980581 3961.161865
340000.000000 7452500.000000 43 49 5 10073.856445 30.221567 2.014772 4029.543457 10086.418945 30.259256 2.017284 4034.567627
340000.000000 7452600.000000 40 20 4 10985.344727 34.953369 0.998668 5992.006348 10024.253906 30.072762 2.004851 4009.701660
340000.000000 7452700.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9928.651367 29.785955 1.985730 3971.460693
340000.000000 7452800.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9928.734375 29.786203 1.985747 3971.493896
340000.000000 7452900.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.780273 29.885342 1.992356 3984.712158
340000.000000 7453000.000000 20 20 5 10029.238281 30.087713 2.005847 4011.695312 10029.504883 30.088516 2.005901 4011.802246
340000.000000 7453100.000000 45 21 4 10984.635742 34.951115 0.998603 5991.620117 10020.247070 30.060741 2.004050 4008.098877
340000.000000 7453200.000000 11 1 5 9984.661133 19.969324 1.996932 3494.631348 9949.292969 29.847878 1.989859 3979.717041
340000.000000 7453300.000000 48 13 0 19936.490234 49.841232 9.968246 4984.122559 10007.330078 30.021988 2.001466 4002.931885
340000.000000 7453400.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9921.615234 29.764847 1.984323 3968.646240
340000.000000 7453500.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9962.527344 29.887581 1.992505 3985.010742
340000.000000 7453600.000000 43 40 5 10079.408203 30.238226 2.015882 4031.761719 10069.489258 30.208467 2.013898 4027.795654
340000.000000 7453700.000000 20 4 0 20089.343750 50.223362 10.044673 5022.335938 9926.536133 29.779608 1.985307 3970.614258
340000.000000 7453800.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9983.302734 29.949907 1.996660 3993.321045
340000.000000 7453900.000000 19 20 5 10028.480469 30.085436 2.005696 4011.391602 10027.283203 30.081850 2.005457 4010.913330
340000.000000 7454000.000000 48 13 0 19936.490234 49.841232 9.968246 4984.122559 10006.949219 30.020847 2.001390 4002.779541
340000.000000 7454100.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9962.451172 29.887354 1.992490 3984.980469
340000.000000 7454200.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.334961 29.884005 1.992267 3984.533936
340000.000000 7454300.000000 47 25 4 10965.232422 34.889385 0.996839 5981.034668 10029.705078 30.089115 2.005941 4011.882080
340000.000000 7454400.000000 13 11 2 10356.612305 28.500177 1.635206 4559.315430 9927.868164 29.783604 1.985574 3971.147217
340000.000000 7454500.000000 38 29 4 10934.683594 34.792171 0.994062 5964.373047 10048.342773 30.145027 2.009669 4019.336914
340000.000000 7454600.000000 46 48 5 10081.010742 30.243032 2.016202 4032.404541 10082.012695 30.246038 2.016403 4032.805176
340000.000000 7454700.000000 41 19 4 10985.709961 34.954529 0.998701 5992.205566 10022.427734 30.067284 2.004486 4008.971191
340000.000000 7454800.000000 41 28 4 10939.171875 34.806454 0.994470 5966.820801 10045.766602 30.137299 2.009153 4018.306641
340000.000000 7454900.000000 30 35 5 10056.495117 30.169485 2.011299 4022.598145 10060.276367 30.180830 2.012055 4024.110596
340000.000000 7455000.000000 47 22 4 10984.012695 34.949131 0.998547 5991.279297 10020.925781 30.062778 2.004185 4008.370361
340000.000000 7455100.000000 7 0 5 9994.623047 19.989277 1.998925 3498.118164 9968.577148 29.905731 1.993715 3987.430664
340000.000000 7455200.000000 48 13 0 19936.490234 49.841232 9.968246 4984.122559 10007.641602 30.022926 2.001529 4003.056885
340000.000000 7455300.000000 45 14 0 19960.832031 49.902084 9.980416 4990.208008 9985.812500 29.957438 1.997162 3994.324951
340000.000000 7455400.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10088.142578 30.264427 2.017628 4035.257080
340000.000000 7455500.000000 47 24 4 10977.558594 34.928593 0.997960 5987.757324 10025.827148 30.077482 2.005166 4010.331055
340000.000000 7455600.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9921.416992 29.764250 1.984283 3968.566650
340000.000000 7455700.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9920.074219 29.760221 1.984015 3968.029541
340000.000000 7455800.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.915039 29.885744 1.992383 3984.765869
340000.000000 7455900.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9901.455078 29.704365 1.980291 3960.582031
340000.000000 7456000.000000 43 49 5 10073.856445 30.221567 2.014772 4029.543457 10086.665039 30.259995 2.017333 4034.665771
340000.000000 7456100.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9983.550781 29.950651 1.996710 3993.420166
340000.000000 7456200.000000 11 4 5 9922.843750 19.845695 1.984569 3472.996826 9943.144531 29.829435 1.988629 3977.258057
340000.000000 7456300.000000 42 19 4 10985.639648 34.954308 0.998694 5992.166992 10021.534180 30.064602 2.004307 4008.613525
340000.000000 7456400.000000 49 14 0 19933.763672 49.834408 9.966883 4983.440918 10008.439453 30.025318 2.001688 4003.375732
340000.000000 7456500.000000 44 21 4 10985.083984 34.952541 0.998644 5991.864258 10021.453125 30.064360 2.004291 4008.581299
340000.000000 7456600.000000 46 14 0 19937.248047 49.843121 9.968624 4984.312012 9989.846680 29.969540 1.997969 3995.938721
340000.000000 7456700.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9962.304688 29.886915 1.992461 3984.921875
340000.000000 7456800.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9960.869141 29.882607 1.992174 3984.347656
340000.000000 7456900.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9983.597656 29.950792 1.996720 3993.439209
340000.000000 7457000.000000 46 23 4 10984.052734 34.949257 0.998550 5991.301270 10022.940430 30.068823 2.004588 4009.176270
340000.000000 7457100.000000 49 14 0 19933.763672 49.834408 9.966883 4983.440918 10008.450195 30.025351 2.001690 4003.379883
340000.000000 7457200.000000 44 36 4 10711.477539 33.612534 1.255453 5467.046387 10062.268555 30.186806 2.012454 4024.907471
340000.000000 7457300.000000 43 49 5 10073.856445 30.221567 2.014772 4029.543457 10085.951172 30.257854 2.017190 4034.380615
340000.000000 7457400.000000 38 35 5 10064.422852 30.193270 2.012885 4025.769531 10063.092773 30.189278 2.012619 4025.237061
340000.000000 7457500.000000 44 46 5 10075.733398 30.227213 2.015146 4030.292725 10081.943359 30.245832 2.016389 4032.777588
340000.000000 7457600.000000 40 37 5 10074.466797 30.223417 2.014894 4029.787109 10066.040039 30.198120 2.013208 4026.416016
340000.000000 7457700.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9909.400391 29.728201 1.981880 3963.760010
340000.000000 7457800.000000 46 49 5 10080.768555 30.242306 2.016154 4032.307617 10082.751953 30.248255 2.016550 4033.100586
340000.000000 7457900.000000 13 11 2 10356.612305 28.500177 1.635206 4559.315430 9928.038086 29.784115 1.985608 3971.215332
340000.000000 7458000.000000 37 25 4 10985.374023 34.953461 0.998670 5992.021973 10046.766602 30.140301 2.009353 4018.706787
340000.000000 7458100.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9905.460938 29.716383 1.981092 3962.184326
340000.000000 7458200.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.504883 29.884516 1.992301 3984.602051
340000.000000 7458300.000000 19 1 2 10390.330078 28.382685 1.607646 4604.750977 9982.475586 29.947426 1.996495 3992.990234
340000.000000 7458400.000000 45 14 0 19960.832031 49.902084 9.980416 4990.208008 9985.812500 29.957436 1.997162 3994.324951
340000.000000 7458500.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9907.601562 29.722805 1.981520 3963.040527
340000.000000 7458600.000000 12 11 2 10347.701172 28.394825 1.644089 4538.464844 9927.148438 29.781445 1.985430 3970.859375
340000.000000 7458700.000000 49 27 4 10958.645508 34.868412 0.996240 5977.442383 10043.495117 30.130486 2.008699 4017.397949
340000.000000 7458800.000000 12 4 5 9996.697266 19.993408 1.999340 3498.848633 9941.119141 29.823357 1.988224 3976.447510
340000.000000 7458900.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9960.960938 29.882883 1.992192 3984.384277
340000.000000 7459000.000000 31 31 5 10065.714844 30.197145 2.013143 4026.285645 10065.688477 30.197067 2.013138 4026.275635
340000.000000 7459100.000000 46 15 0 19933.636719 49.834091 9.966819 4983.409180 9987.803711 29.963411 1.997561 3995.121582
340000.000000 7459200.000000 44 49 5 10075.671875 30.227011 2.015134 4030.267334 10085.572266 30.256716 2.017114 4034.228760
340000.000000 7459300.000000 41 19 4 10985.709961 34.954529 0.998701 5992.205566 10022.222656 30.066668 2.004444 4008.888916
340000.000000 7459400.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10087.972656 30.263918 2.017595 4035.189209
340000.000000 7459500.000000 43 22 4 10984.719727 34.951382 0.998611 5991.665527 10024.586914 30.073761 2.004917 4009.834717
340000.000000 7459600.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9966.250000 29.898750 1.993250 3986.500000
340000.000000 7459700.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10088.452148 30.265356 2.017690 4035.380615
340000.000000 7459800.000000 49 26 4 10961.615234 34.877869 0.996511 5979.062500 10042.009766 30.126030 2.008402 4016.803955
340000.000000 7459900.000000 19 13 2 10399.423828 29.110447 1.591355 4666.020996 9964.709961 29.894129 1.992942 3985.883789
340100.000000 7450000.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9984.145508 29.952436 1.996829 3993.657959
340100.000000 7450100.000000 47 14 0 19934.470703 49.836174 9.967237 4983.617676 10000.833984 30.002502 2.000167 4000.333496
340100.000000 7450200.000000 19 13 2 10399.423828 29.110447 1.591355 4666.020996 9965.218750 29.895655 1.993044 3986.087402
340100.000000 7450300.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9906.633789 29.719902 1.981327 3962.653564
340100.000000 7450400.000000 11 2 5 9923.562500 19.847130 1.984712 3473.247803 9946.162109 29.838488 1.989233 3978.465088
340100.000000 7450500.000000 12 4 5 9996.697266 19.993408 1.999340 3498.848633 9941.302734 29.823908 1.988261 3976.520996
340100.000000 7450600.000000 42 38 2 10313.325195 31.488602 1.733494 4564.221191 10067.345703 30.202036 2.013469 4026.938232
340100.000000 7450700.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.503906 30.004511 2.000301 4000.601562
340100.000000 7450800.000000 44 22 4 10980.595703 34.938259 0.998236 5989.416504 10023.131836 30.069397 2.004627 4009.252930
340100.000000 7450900.000000 48 24 4 10979.504883 34.934795 0.998137 5988.821289 10027.650391 30.082952 2.005530 4011.060303
340100.000000 7451000.000000 49 14 0 19933.763672 49.834408 9.966883 4983.440918 10008.454102 30.025362 2.001691 4003.381592
340100.000000 7451100.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9929.403320 29.788210 1.985881 3971.761475
340100.000000 7451200.000000 11 3 5 9920.903320 19.841795 1.984179 3472.314209 9944.216797 29.832651 1.988843 3977.686768
340100.000000 7451300.000000 13 2 5 9945.822266 19.891645 1.989164 3481.038086 9946.968750 29.840906 1.989394 3978.787354
340100.000000 7451400.000000 46 14 0 19937.248047 49.843121 9.968624 4984.312012 9989.243164 29.967730 1.997849 3995.697266
340100.000000 7451500.000000 45 26 4 10956.801758 34.862556 0.996073 5976.436523 10042.308594 30.126926 2.008462 4016.923584
340100.000000 7451600.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9962.523438 29.887571 1.992505 3985.009521
340100.000000 7451700.000000 42 48 5 10072.568359 30.217699 2.014513 4029.026367 10087.265625 30.261795 2.017453 4034.906006
340100.000000 7451800.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9929.352539 29.788057 1.985870 3971.740967
340100.000000 7451900.000000 46 16 4 10987.515625 34.960278 0.998865 5993.190430 10005.177734 30.015535 2.001036 4002.071289
340100.000000 7452000.000000 47 22 4 10984.012695 34.949131 0.998547 5991.279297 10021.128906 30.063387 2.004226 4008.451660
340100.000000 7452100.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9929.012695 29.787037 1.985802 3971.604980
340100.000000 7452200.000000 12 1 5 9961.281250 19.922560 1.992256 3486.448486 9948.910156 29.846729 1.989782 3979.563965
340100.000000 7452300.000000 44 39 2 10383.927734 31.860722 1.651409 4720.741699 10069.010742 30.207031 2.013802 4027.604248
340100.000000 7452400.000000 13 2 5 9945.822266 19.891645 1.989164 3481.038086 9946.754883 29.840265 1.989351 3978.702148
340100.000000 7452500.000000 47 14 0 19934.470703 49.836174 9.967237 4983.617676 10000.322266 30.000967 2.000065 4000.128906
340100.000000 7452600.000000 11 2 5 9923.562500 19.847130 1.984712 3473.247803 9946.032227 29.838097 1.989206 3978.412842
340100.000000 7452700.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9902.781250 29.708345 1.980556 3961.112549
340100.000000 7452800.000000 48 36 4 10832.891602 34.256939 1.111622 5739.759766 10062.035156 30.186104 2.012407 4024.813965
340100.000000 7452900.000000 40 37 5 10074.466797 30.223417 2.014894 4029.787109 10066.179688 30.198540 2.013236 4026.471924
340100.000000 7453000.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9929.541016 29.788622 1.985908 3971.816406
340100.000000 7453100.000000 21 19 4 11049.916016 35.101479 1.038948 5981.345703 10027.937500 30.083813 2.005588 4011.175049
340100.000000 7453200.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9920.546875 29.761641 1.984109 3968.218750
340100.000000 7453300.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10089.783203 30.269348 2.017956 4035.913086
340100.000000 7453400.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.783203 30.005350 2.000357 4000.713379
340100.000000 7453500.000000 35 40 5 10063.438477 30.190315 2.012688 4025.375244 10065.411133 30.196232 2.013082 4026.164307
340100.000000 7453600.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9967.487305 29.902464 1.993498 3986.995117
340100.000000 7453700.000000 46 47 5 10080.987305 30.242962 2.016197 4032.394775 10081.223633 30.243671 2.016245 4032.489502
340100.000000 7453800.000000 45 47 5 10077.350586 30.232046 2.015471 4030.941162 10082.358398 30.247076 2.016472 4032.943604
340100.000000 7453900.000000 45 14 0 19960.832031 49.902084 9.980416 4990.208008 9986.902344 29.960707 1.997380 3994.760986
340100.000000 7454000.000000 13 11 2 10356.612305 28.500177 1.635206 4559.315430 9928.453125 29.785360 1.985691 3971.381348
340100.000000 7454100.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9905.000000 29.715000 1.981000 3962.000000
340100.000000 7454200.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9982.770508 29.948311 1.996554 3993.108154
340100.000000 7454300.000000 17 4 2 10383.134766 28.386900 1.613040 4594.592285 9942.550781 29.827652 1.988510 3977.020264
340100.000000 7454400.000000 46 14 0 19937.248047 49.843121 9.968624 4984.312012 9989.412109 29.968237 1.997882 3995.764893
340100.000000 7454500.000000 45 21 4 10984.635742 34.951115 0.998603 5991.620117 10020.343750 30.061031 2.004069 4008.137695
340100.000000 7454600.000000 48 24 4 10979.504883 34.934795 0.998137 5988.821289 10027.482422 30.082447 2.005497 4010.992920
340100.000000 7454700.000000 20 1 2 10403.406250 28.534262 1.594081 4635.814453 9983.978516 29.951935 1.996796 3993.591309
340100.000000 7454800.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9920.972656 29.762918 1.984195 3968.389160
340100.000000 7454900.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10002.573242 30.007719 2.000515 4001.029053
340100.000000 7455000.000000 17 4 2 10383.134766 28.386900 1.613040 4594.592285 9942.885742 29.828657 1.988577 3977.154297
340100.000000 7455100.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9908.347656 29.725042 1.981669 3963.338867
340100.000000 7455200.000000 14 2 2 10337.663086 27.800716 1.661746 4481.674316 9947.581055 29.842745 1.989516 3979.032471
340100.000000 7455300.000000 45 21 4 10984.635742 34.951115 0.998603 5991.620117 10020.444336 30.061333 2.004089 4008.177734
340100.000000 7455400.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9967.654297 29.902964 1.993531 3987.061768
340100.000000 7455500.000000 47 15 0 19934.347656 49.835873 9.967175 4983.586914 10003.510742 30.010530 2.000702 4001.404053
340100.000000 7455600.000000 45 37 4 10667.996094 33.377735 1.309355 5366.188965 10066.505859 30.199518 2.013301 4026.602539
340100.000000 7455700.000000 21 19 4 11049.916016 35.101479 1.038948 5981.345703 10027.854492 30.083563 2.005571 4011.141846
340100.000000 7455800.000000 20 19 5 10027.344727 30.082031 2.005469 4010.937744 10028.388672 30.085165 2.005678 4011.355469
340100.000000 7455900.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9966.546875 29.899641 1.993309 3986.618896
340100.000000 7456000.000000 46 24 4 10971.760742 34.910141 0.997433 5984.596191 10025.245117 30.075735 2.005049 4010.097900
340100.000000 7456100.000000 45 47 5 10077.350586 30.232046 2.015471 4030.941162 10082.396484 30.247190 2.016479 4032.958740
340100.000000 7456200.000000 44 23 4 10980.347656 34.937473 0.998213 5989.280762 10026.327148 30.078981 2.005265 4010.530762
340100.000000 7456300.000000 44 25 4 10963.391602 34.883518 0.996672 5980.031738 10042.649414 30.127949 2.008530 4017.059814
340100.000000 7456400.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10088.145508 30.264437 2.017629 4035.258057
340100.000000 7456500.000000 17 4 2 10383.134766 28.386900 1.613040 4594.592285 9942.484375 29.827452 1.988497 3976.993652
340100.000000 7456600.000000 47 24 4 10977.558594 34.928593 0.997960 5987.757324 10025.334961 30.076006 2.005067 4010.134033
340100.000000 7456700.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9968.035156 29.904106 1.993607 3987.214111
340100.000000 7456800.000000 47 24 4 10977.558594 34.928593 0.997960 5987.757324 10025.583984 30.076752 2.005117 4010.233643
340100.000000 7456900.000000 31 30 5 10065.767578 30.197304 2.013154 4026.307129 10064.334961 30.193007 2.012867 4025.734131
340100.000000 7457000.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9961.574219 29.884722 1.992315 3984.629639
340100.000000 7457100.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9909.753906 29.729263 1.981951 3963.901611
340100.000000 7457200.000000 42 48 5 10072.568359 30.217699 2.014513 4029.026367 10087.399414 30.262199 2.017480 4034.959961
340100.000000 7457300.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9922.922852 29.768768 1.984585 3969.169189
340100.000000 7457400.000000 11 3 5 9920.903320 19.841795 1.984179 3472.314209 9943.947266 29.831842 1.988789 3977.578857
340100.000000 7457500.000000 46 14 0 19937.248047 49.843121 9.968624 4984.312012 9989.449219 29.968348 1.997890 3995.779785
340100.000000 7457600.000000 14 2 2 10337.663086 27.800716 1.661746 4481.674316 9947.594727 29.842783 1.989519 3979.037842
340100.000000 7457700.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9962.262695 29.886789 1.992453 3984.905273
340100.000000 7457800.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9967.107422 29.901323 1.993422 3986.843262
340100.000000 7457900.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9924.527344 29.773582 1.984905 3969.811035
340100.000000 7458000.000000 25 20 4 11503.661133 35.816483 1.517441 5914.929199 10042.430664 30.127293 2.008486 4016.972412
340100.000000 7458100.000000 49 15 0 19931.279297 49.828205 9.965640 4982.819824 10009.007812 30.027025 2.001802 4003.603271
340100.000000 7458200.000000 46 16 4 10987.515625 34.960278 0.998865 5993.190430 10006.078125 30.018234 2.001216 4002.431396
340100.000000 7458300.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9906.549805 29.719650 1.981310 3962.619873
340100.000000 7458400.000000 42 26 4 10961.763672 34.878338 0.996524 5979.144531 10045.374023 30.136122 2.009075 4018.149658
340100.000000 7458500.000000 46 38 2 10630.732422 33.174206 1.356961 5277.875488 10067.037109 30.201111 2.013407 4026.814941
340100.000000 7458600.000000 21 19 4 11049.916016 35.101479 1.038948 5981.345703 10028.021484 30.084066 2.005605 4011.208740
340100.000000 7458700.000000 47 15 0 19934.347656 49.835873 9.967175 4983.586914 10004.248047 30.012745 2.000850 4001.699219
340100.000000 7458800.000000 41 24 4 10978.534180 34.931702 0.998049 5988.291992 10043.258789 30.129776 2.008652 4017.303467
340100.000000 7458900.000000 17 4 2 10383.134766 28.386900 1.613040 4594.592285 9942.724609 29.828173 1.988545 3977.089600
340100.000000 7459000.000000 13 3 2 10335.583984 27.808266 1.663140 4479.285156 9942.126953 29.826380 1.988425 3976.850830
340100.000000 7459100.000000 12 8 2 10340.507812 28.165998 1.653122 4512.155273 9928.912109 29.786736 1.985782 3971.564941
340100.000000 7459200.000000 46 15 0 19933.636719 49.834091 9.966819 4983.409180 9987.781250 29.963343 1.997556 3995.112305
340100.000000 7459300.000000 35 27 4 10987.179688 34.959209 0.998835 5993.006836 10048.119141 30.144358 2.009624 4019.247559
340100.000000 7459400.000000 11 1 5 9984.661133 19.969324 1.996932 3494.631348 9949.766602 29.849300 1.989953 3979.906494
340100.000000 7459500.000000 43 49 5 10073.856445 30.221567 2.014772 4029.543457 10086.093750 30.258280 2.017219 4034.437256
340100.000000 7459600.000000 19 13 2 10399.423828 29.110447 1.591355 4666.020996 9964.300781 29.892902 1.992860 3985.720215
340100.000000 7459700.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.365234 30.004097 2.000273 4000.546143
340100.000000 7459800.000000 41 46 5 10069.933594 30.209799 2.013987 4027.973877 10082.893555 30.248680 2.016579 4033.157471
340100.000000 7459900.000000 12 11 2 10347.701172 28.394825 1.644089 4538.464844 9927.616211 29.782848 1.985523 3971.046387
340200.000000 7450000.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9904.428711 29.713285 1.980886 3961.771484
340200.000000 7450100.000000 35 26 4 10987.998047 34.961815 0.998909 5993.453125 10047.573242 30.142719 2.009515 4019.029297
340200.000000 7450200.000000 11 2 5 9923.562500 19.847130 1.984712 3473.247803 9945.949219 29.837847 1.989190 3978.379639
340200.000000 7450300.000000 15 9 2 10372.548828 28.594534 1.619858 4591.176758 9922.297852 29.766895 1.984460 3968.919189
340200.000000 7450400.000000 11 1 5 9984.661133 19.969324 1.996932 3494.631348 9949.246094 29.847736 1.989849 3979.698242
340200.000000 7450500.000000 43 36 4 10658.827148 33.333092 1.317813 5348.800781 10066.616211 30.199848 2.013323 4026.646240
340200.000000 7450600.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9903.886719 29.711658 1.980777 3961.554688
340200.000000 7450700.000000 47 41 5 10084.364258 30.253090 2.016873 4033.745850 10069.807617 30.209423 2.013962 4027.923096
340200.000000 7450800.000000 21 19 4 11049.916016 35.101479 1.038948 5981.345703 10027.913086 30.083738 2.005583 4011.165039
340200.000000 7450900.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9907.873047 29.723619 1.981575 3963.149170
340200.000000 7451000.000000 41 49 5 10068.428711 30.205288 2.013686 4027.371826 10089.375000 30.268126 2.017875 4035.750000
340200.000000 7451100.000000 35 32 5 10060.342773 30.181028 2.012069 4024.137207 10060.551758 30.181656 2.012110 4024.220703
340200.000000 7451200.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.248047 30.003744 2.000250 4000.499268
340200.000000 7451300.000000 45 14 0 19960.832031 49.902084 9.980416 4990.208008 9985.832031 29.957497 1.997166 3994.332764
340200.000000 7451400.000000 43 22 4 10984.719727 34.951382 0.998611 5991.665527 10024.631836 30.073896 2.004926 4009.852783
340200.000000 7451500.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9968.087891 29.904263 1.993618 3987.235107
340200.000000 7451600.000000 17 4 2 10383.134766 28.386900 1.613040 4594.592285 9942.508789 29.827526 1.988502 3977.003418
340200.000000 7451700.000000 46 14 0 19937.248047 49.843121 9.968624 4984.312012 9989.698242 29.969093 1.997940 3995.879150
340200.000000 7451800.000000 45 32 4 10906.583984 34.653805 1.020882 5909.877441 10047.835938 30.143507 2.009567 4019.134277
340200.000000 7451900.000000 19 20 5 10028.480469 30.085436 2.005696 4011.391602 10027.389648 30.082169 2.005478 4010.955811
